CMDLINE /home/vkumar/work/personal/vhere/vhereapp/venv/bin/python3 main.py
MEM 96.132812 1601836873.7626
MEM 96.132812 1601836873.8635
MEM 96.132812 1601836873.9645
MEM 96.132812 1601836874.0652
MEM 96.132812 1601836874.1659
MEM 96.132812 1601836874.2666
MEM 96.132812 1601836874.3674
MEM 96.132812 1601836874.4682
MEM 96.132812 1601836874.5689
MEM 96.132812 1601836874.6696
MEM 96.132812 1601836874.7703
MEM 96.132812 1601836874.8711
MEM 96.132812 1601836874.9721
MEM 96.132812 1601836875.0728
MEM 96.132812 1601836875.1736
MEM 96.132812 1601836875.2742
MEM 96.132812 1601836875.3751
MEM 96.132812 1601836875.4755
MEM 96.132812 1601836875.5765
MEM 96.132812 1601836875.6768
MEM 96.132812 1601836875.7777
MEM 96.132812 1601836875.8787
MEM 96.132812 1601836875.9795
MEM 96.132812 1601836876.0805
MEM 96.132812 1601836876.1813
MEM 96.132812 1601836876.2819
MEM 96.132812 1601836876.3827
MEM 96.132812 1601836876.4833
MEM 96.132812 1601836876.5839
MEM 96.132812 1601836876.6844
MEM 96.132812 1601836876.7848
MEM 96.132812 1601836876.8856
MEM 96.132812 1601836876.9864
MEM 96.132812 1601836877.0872
MEM 96.132812 1601836877.1877
MEM 96.132812 1601836877.2880
MEM 96.132812 1601836877.3886
MEM 96.132812 1601836877.4894
MEM 96.132812 1601836877.5903
MEM 96.132812 1601836877.6911
MEM 96.132812 1601836877.7917
MEM 96.132812 1601836877.8927
MEM 96.132812 1601836877.9936
MEM 96.132812 1601836878.0946
MEM 96.132812 1601836878.1955
MEM 96.132812 1601836878.2964
MEM 96.132812 1601836878.3973
MEM 96.132812 1601836878.4982
MEM 96.132812 1601836878.5992
MEM 96.132812 1601836878.7001
MEM 96.132812 1601836878.8007
MEM 96.132812 1601836878.9015
MEM 96.132812 1601836879.0020
MEM 96.132812 1601836879.1027
MEM 96.132812 1601836879.2036
MEM 96.132812 1601836879.3042
MEM 96.132812 1601836879.4046
MEM 96.132812 1601836879.5053
MEM 96.132812 1601836879.6057
MEM 96.132812 1601836879.7065
MEM 96.132812 1601836879.8072
MEM 96.132812 1601836879.9081
MEM 96.132812 1601836880.0086
MEM 96.132812 1601836880.1094
MEM 96.132812 1601836880.2104
MEM 96.132812 1601836880.3111
MEM 96.132812 1601836880.4121
MEM 96.132812 1601836880.5130
MEM 96.132812 1601836880.6137
MEM 96.132812 1601836880.7143
MEM 96.132812 1601836880.8149
MEM 96.132812 1601836880.9154
MEM 96.132812 1601836881.0160
MEM 96.132812 1601836881.1164
MEM 96.132812 1601836881.2172
MEM 96.132812 1601836881.3177
MEM 96.132812 1601836881.4185
MEM 96.132812 1601836881.5189
MEM 96.132812 1601836881.6193
MEM 96.132812 1601836881.7198
MEM 96.132812 1601836881.8205
MEM 96.132812 1601836881.9210
MEM 96.132812 1601836882.0218
MEM 96.132812 1601836882.1226
MEM 96.132812 1601836882.2233
MEM 96.132812 1601836882.3240
MEM 96.132812 1601836882.4249
MEM 96.132812 1601836882.5256
MEM 96.132812 1601836882.6265
MEM 96.132812 1601836882.7275
MEM 96.132812 1601836882.8284
MEM 96.132812 1601836882.9290
MEM 96.132812 1601836883.0299
MEM 96.132812 1601836883.1307
MEM 96.132812 1601836883.2315
MEM 96.132812 1601836883.3323
MEM 96.132812 1601836883.4330
MEM 96.132812 1601836883.5337
MEM 96.132812 1601836883.6344
MEM 96.132812 1601836883.7348
MEM 96.132812 1601836883.8358
MEM 96.132812 1601836883.9362
MEM 96.132812 1601836884.0373
MEM 96.132812 1601836884.1382
MEM 96.132812 1601836884.2391
MEM 96.132812 1601836884.3399
MEM 96.132812 1601836884.4406
MEM 96.132812 1601836884.5415
MEM 96.132812 1601836884.6425
MEM 96.132812 1601836884.7435
MEM 96.132812 1601836884.8445
MEM 96.132812 1601836884.9449
MEM 96.132812 1601836885.0453
MEM 96.132812 1601836885.1460
MEM 96.132812 1601836885.2470
MEM 96.132812 1601836885.3477
MEM 96.132812 1601836885.4486
MEM 96.132812 1601836885.5494
MEM 96.132812 1601836885.6502
MEM 96.132812 1601836885.7511
MEM 96.132812 1601836885.8520
MEM 96.132812 1601836885.9527
MEM 96.132812 1601836886.0534
MEM 96.132812 1601836886.1543
MEM 96.132812 1601836886.2551
MEM 96.132812 1601836886.3562
MEM 96.132812 1601836886.4569
MEM 96.132812 1601836886.5574
MEM 96.132812 1601836886.6578
